Date,Composite_HPI_Peterborough,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Composite_Benchmark_SA_Peterborough,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA
05-Jan,100,100,100,100,190100,190100,189000,191900
05-Feb,100.3,100.3,99.9,101,190700,190700,188800,193800
05-Mar,100.6,100.6,99.9,102.3,191200,191200,188800,196300
05-Apr,100.7,100.7,99.6,102.4,191500,191500,188200,196600
05-May,100.9,100.9,99.7,102.9,191800,191800,188400,197400
05-Jun,101.2,101.2,99.5,103.7,192400,192400,188100,199000
05-Jul,101.9,101.9,99.9,104.8,193700,193700,188800,201100
05-Aug,102.6,102.6,100.1,106.4,195000,195000,189200,204100
05-Sep,103.3,103.3,100.2,107.4,196300,196300,189400,206100
05-Oct,103.9,103.9,101.1,108.3,197600,197600,191000,207800
05-Nov,104.6,104.6,101.9,108.7,198800,198800,192500,208600
05-Dec,105.3,105.3,102.5,109,200100,200100,193800,209200
06-Jan,105.9,105.9,103.5,109.6,201400,201400,195600,210400
06-Feb,106.5,106.5,104.2,110,202500,202500,197000,211000
06-Mar,107.1,107.1,105.1,110.7,203600,203600,198700,212500
06-Apr,107,107,103.9,111.7,203400,203400,196400,214300
06-May,106.9,106.9,102.9,113,203200,203200,194500,216800
06-Jun,106.8,106.8,101.7,114.7,203100,203100,192200,220200
06-Jul,107,107,102.9,113.4,203400,203400,194400,217700
06-Aug,107.2,107.2,103.7,112.6,203800,203800,195900,216100
06-Sep,107.4,107.4,104.5,111.2,204100,204100,197500,213400
06-Oct,107.7,107.7,104.6,112.4,204800,204800,197700,215600
06-Nov,108.1,108.1,104.9,112.9,205500,205500,198200,216600
06-Dec,108.4,108.4,104.8,113.3,206100,206100,198100,217500
07-Jan,108.6,108.6,105.4,113.3,206500,206500,199300,217400
07-Feb,108.6,108.6,105.8,112.9,206400,206400,199900,216700
07-Mar,108.6,108.6,106.2,113.1,206500,206500,200700,217000
07-Apr,109.4,109.4,106.3,114.1,207900,207900,200900,218900
07-May,110.2,110.2,106.7,115.5,209500,209500,201700,221700
07-Jun,111,111,107.1,117.3,211100,211100,202400,225100
07-Jul,112,112,108.3,117.8,212900,212900,204600,226000
07-Aug,112.9,112.9,109.2,118.7,214700,214700,206300,227700
07-Sep,113.6,113.6,110,118.9,215900,215900,207900,228200
07-Oct,114.4,114.4,110.6,120.2,217500,217500,209000,230700
07-Nov,115,115,111.1,120.7,218600,218600,210000,231700
07-Dec,115.5,115.5,111.5,121,219600,219600,210800,232200
08-Jan,115.8,115.8,111.5,122.1,220200,220200,210700,234300
08-Feb,115.6,115.6,111.2,122.5,219800,219800,210200,235000
08-Mar,115.8,115.8,110.9,123.9,220200,220200,209600,237800
08-Apr,115.3,115.3,111.4,121.4,219100,219100,210500,232900
08-May,115.2,115.2,112.3,119.2,219000,219000,212200,228800
08-Jun,114.9,114.9,113.3,117.5,218400,218400,214100,225500
08-Jul,114.5,114.5,112.9,116.8,217700,217700,213300,224200
08-Aug,114.2,114.2,112.4,116.2,217000,217000,212400,223000
08-Sep,113.2,113.2,111.8,114.8,215100,215100,211300,220300
08-Oct,112.2,112.2,110.4,115,213200,213200,208600,220600
08-Nov,111,111,108.8,114.1,211100,211100,205600,219000
08-Dec,109.8,109.8,107.2,113.1,208700,208700,202600,217100
09-Jan,110.4,110.4,108,113.5,209900,209900,204100,217800
09-Feb,110.2,110.2,108.6,113.1,209400,209400,205200,217000
09-Mar,110.6,110.6,108.8,113.8,210200,210200,205600,218400
09-Apr,110.4,110.4,108.1,114.1,209800,209800,204400,218900
09-May,111,111,108.3,115,211000,211000,204700,220700
09-Jun,111.3,111.3,108.7,115.8,211500,211500,205400,222300
09-Jul,111.7,111.7,108.8,116.1,212300,212300,205700,222800
09-Aug,112,112,109,116,213000,213000,206100,222600
09-Sep,111.6,111.6,109.2,115.3,212100,212100,206300,221300
09-Oct,113.9,113.9,110.8,118.7,216500,216500,209400,227700
09-Nov,115.8,115.8,112.4,121,220100,220100,212500,232200
09-Dec,117.7,117.7,113.7,123.1,223800,223800,214900,236300
10-Jan,117.3,117.3,113.1,123,223000,223000,213800,236100
10-Feb,119.1,119.1,115,126,226400,226400,217400,241800
10-Mar,118.7,118.7,115.9,123.2,225600,225600,219000,236500
10-Apr,119.6,119.6,116.5,124.9,227400,227400,220100,239700
10-May,119.3,119.3,116.9,122.8,226800,226800,220900,235700
10-Jun,118.6,118.6,115.9,123.3,225400,225400,219100,236600
10-Jul,122.7,122.7,118.3,129.7,233300,233300,223500,248800
10-Aug,120.8,120.8,116.5,126.3,229600,229600,220200,242400
10-Sep,121,121,116.5,128.2,230000,230000,220200,246100
10-Oct,118.5,118.5,113.5,126,225200,225200,214600,241700
10-Nov,119.5,119.5,116,124.9,227200,227200,219300,239600
10-Dec,120,120,115.3,126.6,228200,228200,217900,243000
11-Jan,121.8,121.8,117.4,128.4,231600,231600,221900,246400
11-Feb,121.6,121.6,117.3,128.7,231200,231200,221700,246900
11-Mar,121.5,121.5,118,126.8,231000,231000,223100,243300
11-Apr,121.7,121.7,118.7,126.5,231300,231300,224400,242800
11-May,121.8,121.8,117.7,128,231500,231500,222400,245700
11-Jun,122,122,118.6,128.1,231900,231900,224200,245900
11-Jul,120.8,120.8,118.5,124.8,229700,229700,223900,239400
11-Aug,119.8,119.8,118,121.7,227800,227800,223000,233500
11-Sep,120.5,120.5,118,125,229100,229100,223100,239900
11-Oct,121.2,121.2,117.7,126.5,230400,230400,222500,242700
11-Nov,120.9,120.9,117.2,126.7,229900,229900,221500,243200
11-Dec,120.8,120.8,118.1,124.3,229700,229700,223200,238500
12-Jan,120.9,120.9,117,126.7,229800,229800,221200,243100
12-Feb,121.7,121.7,117.6,128.2,231400,231400,222200,246000
12-Mar,122.1,122.1,117.5,129.3,232200,232200,222100,248100
12-Apr,122.5,122.5,117.4,131.2,232900,232900,221800,251700
12-May,122.4,122.4,118,128.8,232600,232600,223000,247100
12-Jun,122.5,122.5,118.2,129.7,232900,232900,223400,248800
12-Jul,122.9,122.9,118.6,129.4,233600,233600,224200,248400
12-Aug,125.5,125.5,119.9,133,238500,238500,226700,255300
12-Sep,126.1,126.1,120.5,135.3,239700,239700,227800,259700
12-Oct,126.1,126.1,122.1,132.5,239800,239800,230700,254300
12-Nov,126.6,126.6,123,132.2,240700,240700,232500,253700
12-Dec,126.4,126.4,123.2,130.7,240300,240300,232800,250900
13-Jan,126.4,126.4,122,133.1,240200,240200,230600,255500
13-Feb,125.6,125.6,120.9,132.7,238800,238800,228500,254600
13-Mar,126.8,126.8,122.3,133.8,241000,241000,231200,256800
13-Apr,127.5,127.5,123.3,134.4,242300,242300,233000,258000
13-May,128.4,128.4,124.6,133.8,244000,244000,235400,256800
13-Jun,127.4,127.4,123.8,133.5,242200,242200,233900,256100
13-Jul,127.5,127.5,123.3,134.1,242400,242400,233100,257300
13-Aug,126.3,126.3,121.9,132.8,240100,240100,230300,254900
13-Sep,127.2,127.2,123,134.1,241900,241900,232500,257400
13-Oct,127.9,127.9,122.6,136,243100,243100,231800,260900
13-Nov,128.4,128.4,124.4,134.5,244000,244000,235100,258200
13-Dec,128.1,128.1,122,137.4,243600,243600,230500,263600
14-Jan,129,129,124.9,135.6,245200,245200,236000,260200
14-Feb,129,129,125.7,133.6,245300,245300,237500,256300
14-Mar,129.8,129.8,124.3,138.5,246700,246700,235000,265700
14-Apr,130.9,130.9,124.2,141.5,248800,248800,234800,271500
14-May,130,130,122.3,141.9,247100,247100,231100,272400
14-Jun,130.8,130.8,123.9,141.9,248700,248700,234200,272400
14-Jul,132.1,132.1,125,143.1,251100,251100,236300,274700
14-Aug,132.4,132.4,126.3,141.8,251700,251700,238700,272100
14-Sep,131.5,131.5,125.1,141.7,250000,250000,236500,271900
14-Oct,131.8,131.8,126.5,140.2,250600,250600,239100,269000
14-Nov,133.7,133.7,127.5,143.3,254100,254100,240900,274900
14-Dec,133.8,133.8,128.1,142.3,254400,254400,242100,273000
15-Jan,133.2,133.2,128.4,141.2,253300,253300,242600,270900
15-Feb,132.1,132.1,127.1,139.5,251200,251200,240300,267700
15-Mar,131.2,131.2,125.6,139.9,249400,249400,237400,268400
15-Apr,130.1,130.1,126.9,135.4,247300,247300,239800,259800
15-May,133.1,133.1,128.6,139.8,253100,253100,243000,268200
15-Jun,134.7,134.7,130.5,141.4,256100,256100,246700,271300
15-Jul,136.5,136.5,131.8,144,259500,259500,249100,276300
15-Aug,137.1,137.1,133,143.7,260700,260700,251300,275800
15-Sep,139.2,139.2,135.7,144.9,264700,264700,256500,278000
15-Oct,139.7,139.7,136.9,144.1,265500,265500,258800,276600
15-Nov,140.6,140.6,136.5,146.3,267200,267200,257900,280700
15-Dec,141.5,141.5,137,148,269000,269000,259000,284000
16-Jan,142,142,136.2,150.9,269900,269900,257500,289500
16-Feb,142.7,142.7,137.9,149.8,271300,271300,260700,287400
16-Mar,143.8,143.8,137.8,152.9,273300,273300,260500,293400
16-Apr,143.4,143.4,139,149.8,272600,272600,262800,287400
16-May,145.3,145.3,140.9,151.6,276200,276200,266300,290900
16-Jun,147.4,147.4,143.8,153.3,280300,280300,271700,294200
16-Jul,149.7,149.7,146,155.3,284600,284600,275900,298000
16-Aug,155.4,155.4,150.6,163.1,295500,295500,284700,312900
16-Sep,157.1,157.1,152.7,163.9,298700,298700,288600,314500
16-Oct,161.2,161.2,155,170.7,306400,306400,292900,327600
16-Nov,161.8,161.8,156.9,167.9,307500,307500,296600,322200
16-Dec,166.3,166.3,159.7,175.8,316100,316100,301800,337300
17-Jan,169.1,169.1,162.6,178.6,321500,321500,307400,342700
17-Feb,175.6,175.6,168.4,186.1,333800,333800,318300,357100
17-Mar,182.8,182.8,176,192.9,347500,347500,332700,370200
17-Apr,187.8,187.8,181.1,197.7,357100,357100,342200,379300
17-May,190.8,190.8,184.3,200.1,362700,362700,348300,384000
17-Jun,192.6,192.6,185.7,202.9,366200,366200,351000,389300
17-Jul,190.4,190.4,181.1,204.4,362000,362000,342200,392200
17-Aug,187.5,187.5,178.1,201.9,356500,356500,336700,387500
17-Sep,186.8,186.8,176.1,202.7,355200,355200,332900,388900
17-Oct,187.3,187.3,176.2,203.6,356000,356000,333100,390800
17-Nov,191.7,191.7,179.5,208.1,364500,364500,339200,399400
17-Dec,193.5,193.5,181.4,210.7,367800,367800,342800,404300
18-Jan,197.1,197.1,184.7,214.9,374700,374700,349000,412300
18-Feb,197.1,197.1,187.7,211.4,374700,374700,354800,405700
18-Mar,205.7,205.7,196,219.2,391000,391000,370500,420600
18-Apr,205.6,205.6,192.3,224.5,390900,390900,363500,430900
18-May,208.9,208.9,194.7,228.8,397100,397100,368000,439000
18-Jun,208.8,208.8,195.5,227.2,396900,396900,369500,436000
18-Jul,212,212,199.7,229.6,403100,403100,377400,440600
18-Aug,210.4,210.4,198.3,228.3,400000,400000,374800,438200
18-Sep,212.6,212.6,200.1,230.4,404200,404200,378100,442100
18-Oct,214.4,214.4,201.9,232.4,407500,407500,381600,445900
18-Nov,213.5,213.5,202.5,227.7,405800,405800,382800,436900
18-Dec,216.5,216.5,204.3,233.3,411600,411600,386200,447700
19-Jan,217.3,217.3,207.1,231.8,413100,413100,391500,444900
19-Feb,219,219,206,238.4,416400,416400,389300,457400
19-Mar,217.4,217.4,205.2,234.6,413200,413200,387900,450200
19-Apr,216,216,204.6,232.1,410600,410600,386600,445400
19-May,217.4,217.4,205.3,234.4,413200,413200,388100,449800
19-Jun,219.6,219.6,206.2,237.9,417500,417500,389700,456600
19-Jul,219.8,219.8,207.9,237.3,417800,417800,392900,455400
19-Aug,222.8,222.8,209.3,243.5,423500,423500,395500,467200
19-Sep,222.6,222.6,210.9,239.7,423100,423100,398600,459900
19-Oct,223.7,223.7,212.4,240.6,425300,425300,401500,461700
19-Nov,225.4,225.4,214.1,241.3,428400,428400,404600,463000
19-Dec,224.6,224.6,216,236.7,426900,426900,408200,454200
20-Jan,226.9,226.9,216.9,241.9,431400,431400,410000,464200
20-Feb,226.4,226.4,217.7,240.2,430300,430300,411500,461000
20-Mar,229.9,229.9,219.4,245.1,437000,437000,414700,470300
20-Apr,231.9,231.9,219.9,249.3,440900,440900,415700,478500
20-May,231.7,231.7,217.1,252.8,440500,440500,410400,485100
20-Jun,234.5,234.5,218.7,256.4,445700,445700,413300,492100
20-Jul,239.9,239.9,228.4,257,456000,456000,431600,493100
20-Aug,247.8,247.8,236.7,265.7,471100,471100,447300,509900
20-Sep,254.7,254.7,243.6,270.8,484200,484200,460400,519600
